school_name,sub_county,county,Location,geocoding_query,formatted_address,location_type,Unnamed: 7,status,distance_to_center_km,latitude,longitude,cluster_id,distance_to_cluster_center_km
Tegat Secondary School,Emgwen,Nandi County,"0.20122,35.09603","Tegat Secondary School, Emgwen, Nandi County, Kenya","Kapsabet, Kenya",GEOMETRIC_CENTER,,SUCCESS,81.6081584215271,0.20122,35.09603,10,6.936298935087164
Kamobo Secondary School,Emgwen,Nandi County,"0.19194,35.07679","Kamobo Secondary School, Emgwen, Nandi County, Kenya","Kamobo Rd, Kenya",GEOMETRIC_CENTER,,SUCCESS,83.8939095073386,0.19194,35.07679,10,5.95260713293497
Kiptuya Secondry School,CHESUMEI,Nandi County,"0.20245,35.0008","Kiptuya Secondry School, CHESUMEI, Nandi County, Kenya","Nandi County, Kenya",APPROXIMATE,,SUCCESS,78.1071094201267,0.20245,35.0008,10,11.900312386563762
Namgoi Secondary School,CHESUMEI,Nandi County,"0.20575,35.11807","Namgoi Secondary School, CHESUMEI, Nandi County, Kenya","6439+7W5, Kapsabet, Kenya",GEOMETRIC_CENTER,,SUCCESS,79.1132798626598,0.20575,35.11807,10,8.126530041638409
Koitabut Secondary School,Aldai,Nandi County,"0.08100530702286131, 34.880571277012265","Koitabut Secondary School, Aldai, Nandi County, Kenya","Koitabut Secondary School, P.O Box 137, Kenya",GEOMETRIC_CENTER,,SUCCESS,105.248416733804,0.0810053070228613,34.880571277012265,10,23.889911198845404
Kamimei Secondary School,Aldai,Nandi County,"0.067054,34.916827","Kamimei Secondary School, Aldai, Nandi County, Kenya","Kamimei, Kenya",APPROXIMATE,,SUCCESS,101.784551399599,0.067054,34.916827,10,20.595965011529092
Jean Marie Seroney,Nandihills,Nandi County,"0.100278,35.176389","Jean Marie Seroney, Nandihills, Nandi County, Kenya","Jean-Marie Seroney Rd, Nandi Hills, Kenya",GEOMETRIC_CENTER,,SUCCESS,71.3953726161569,0.100278,35.176389,10,10.819980553748417
Tigityo Secondary School,Nandihills,Nandi County,"0.20056577380887353, 35.23242235214759","Tigityo Secondary School, Nandihills, Nandi County, Kenya","Tigityo, Kenya",GEOMETRIC_CENTER,,SUCCESS,66.6545962796304,0.2005657738088735,35.23242235214759,10,17.507647667028376
Olmaroroi Secondary School,Mosop,Nandi County,"0.4551354710411373, 34.94564463337489","Olmaroroi Secondary School, Mosop, Nandi County, Kenya","FW4W+27M, Kakamega, Kenya",GEOMETRIC_CENTER,,SUCCESS,104.828562202511,0.4551354710411373,34.94564463337489,21,22.999700814356846
Kabutie Secondary School,TINDERET,Nandi County,"0.004804746025029179, 35.28794564050494","Kabutie Secondary School, TINDERET, Nandi County, Kenya","Kabutie, Kenya",APPROXIMATE,,SUCCESS,60.3803020939268,0.0048047460250291,35.28794564050494,10,26.86732479879968
